Date,Buy/Sell/Hold,Name,Bank Name
08.05.19,Hold,Regeneron Pharmaceuticals Hold,Canaccord Adams
01.10.18,Hold,Regeneron Pharmaceuticals Neutral,Cantor Fitzgerald
04.05.18,Hold,Regeneron Pharmaceuticals Hold,Canaccord Adams
21.02.18,Hold,Regeneron Pharmaceuticals Hold,Canaccord Adams
09.11.17,Hold,Regeneron Pharmaceuticals Neutral,Robert W. Baird & Co. Incorporated
09.11.17,Hold,Regeneron Pharmaceuticals Sector Perform,RBC Capital Markets
20.10.17,Sell,Regeneron Pharmaceuticals Underweight,Barclays Capital
15.09.17,Hold,Regeneron Pharmaceuticals Sector Perform,RBC Capital Markets
04.08.17,Buy,Regeneron Pharmaceuticals Market Perform,BMO Capital Markets
04.08.17,Buy,Regeneron Pharmaceuticals Buy,UBS AG
01.08.17,Sell,Regeneron Pharmaceuticals Underperform,Robert W. Baird & Co. Incorporated
30.06.17,Buy,Regeneron Pharmaceuticals Buy,BTIG Research
05.05.17,Buy,Regeneron Pharmaceuticals Buy,Canaccord Adams
29.03.17,Buy,Regeneron Pharmaceuticals Buy,UBS AG
09.03.17,Buy,Regeneron Pharmaceuticals Buy,UBS AG
06.01.17,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
06.01.17,Hold,Regeneron Pharmaceuticals Neutral,Chardan Capital Markets
23.12.16,Buy,Regeneron Pharmaceuticals Market Perform,BMO Capital Markets
12.12.16,Hold,Regeneron Pharmaceuticals Neutral,Chardan Capital Markets
07.11.16,Sell,Regeneron Pharmaceuticals Sell,Chardan Capital Markets
28.03.16,Hold,Regeneron Pharmaceuticals Hold,Canaccord Adams
17.03.16,Hold,Regeneron Pharmaceuticals Neutral,"SunTrust Robinson Humphrey, Inc."
16.03.16,Sell,Regeneron Pharmaceuticals Sell,Chardan Capital Markets
15.03.16,Buy,Regeneron Pharmaceuticals Buy,Gabelli & Co
03.03.16,Hold,Regeneron Pharmaceuticals Neutral,"SunTrust Robinson Humphrey, Inc."
27.01.16,Hold,Regeneron Pharmaceuticals Hold,Canaccord Adams
25.01.16,Sell,Regeneron Pharmaceuticals Sell,Chardan Capital Markets
05.11.15,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
31.08.15,Hold,Regeneron Pharmaceuticals Neutral,Chardan Capital Markets
10.08.15,Hold,Regeneron Pharmaceuticals Neutral,"ROTH Capital Partners, LLC"
06.08.15,Buy,Regeneron Pharmaceuticals Buy,Argus Research Company
05.08.15,Hold,Regeneron Pharmaceuticals Equal weight,Barclays Capital
05.08.15,Buy,Regeneron Pharmaceuticals Buy,Canaccord Adams
05.08.15,Sell,Regeneron Pharmaceuticals Sell,UBS AG
05.08.15,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
04.08.15,Buy,Regeneron Pharmaceuticals Buy,Brean Capital
27.07.15,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
22.07.15,Hold,Regeneron Pharmaceuticals Market Perform,Northland Capital
20.07.15,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
13.07.15,Buy,Regeneron Pharmaceuticals Buy,Deutsche Bank AG
15.06.15,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
10.06.15,Buy,Regeneron Pharmaceuticals Buy,Chardan Capital Markets
20.05.15,Buy,Regeneron Pharmaceuticals Buy,Canaccord Adams
20.05.15,Buy,Regeneron Pharmaceuticals Buy,Argus Research Company
19.05.15,Buy,Regeneron Pharmaceuticals Buy,Brean Capital
08.05.15,Hold,Regeneron Pharmaceuticals Neutral,UBS AG
08.05.15,Buy,Regeneron Pharmaceuticals Buy,Canaccord Adams
08.05.15,Buy,Regeneron Pharmaceuticals Buy,Brean Capital
07.05.15,Hold,Regeneron Pharmaceuticals Neutral,"ROTH Capital Partners, LLC"
29.04.15,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
08.05.19,Hold,Regeneron Pharmaceuticals Hold,Canaccord Adams
01.10.18,Hold,Regeneron Pharmaceuticals Neutral,Cantor Fitzgerald
04.05.18,Hold,Regeneron Pharmaceuticals Hold,Canaccord Adams
21.02.18,Hold,Regeneron Pharmaceuticals Hold,Canaccord Adams
09.11.17,Hold,Regeneron Pharmaceuticals Neutral,Robert W. Baird & Co. Incorporated
09.11.17,Hold,Regeneron Pharmaceuticals Sector Perform,RBC Capital Markets
20.10.17,Sell,Regeneron Pharmaceuticals Underweight,Barclays Capital
15.09.17,Hold,Regeneron Pharmaceuticals Sector Perform,RBC Capital Markets
04.08.17,Buy,Regeneron Pharmaceuticals Market Perform,BMO Capital Markets
04.08.17,Buy,Regeneron Pharmaceuticals Buy,UBS AG
01.08.17,Sell,Regeneron Pharmaceuticals Underperform,Robert W. Baird & Co. Incorporated
30.06.17,Buy,Regeneron Pharmaceuticals Buy,BTIG Research
05.05.17,Buy,Regeneron Pharmaceuticals Buy,Canaccord Adams
29.03.17,Buy,Regeneron Pharmaceuticals Buy,UBS AG
09.03.17,Buy,Regeneron Pharmaceuticals Buy,UBS AG
06.01.17,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
06.01.17,Hold,Regeneron Pharmaceuticals Neutral,Chardan Capital Markets
23.12.16,Buy,Regeneron Pharmaceuticals Market Perform,BMO Capital Markets
12.12.16,Hold,Regeneron Pharmaceuticals Neutral,Chardan Capital Markets
07.11.16,Sell,Regeneron Pharmaceuticals Sell,Chardan Capital Markets
28.03.16,Hold,Regeneron Pharmaceuticals Hold,Canaccord Adams
17.03.16,Hold,Regeneron Pharmaceuticals Neutral,"SunTrust Robinson Humphrey, Inc."
16.03.16,Sell,Regeneron Pharmaceuticals Sell,Chardan Capital Markets
15.03.16,Buy,Regeneron Pharmaceuticals Buy,Gabelli & Co
03.03.16,Hold,Regeneron Pharmaceuticals Neutral,"SunTrust Robinson Humphrey, Inc."
27.01.16,Hold,Regeneron Pharmaceuticals Hold,Canaccord Adams
25.01.16,Sell,Regeneron Pharmaceuticals Sell,Chardan Capital Markets
05.11.15,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
31.08.15,Hold,Regeneron Pharmaceuticals Neutral,Chardan Capital Markets
10.08.15,Hold,Regeneron Pharmaceuticals Neutral,"ROTH Capital Partners, LLC"
06.08.15,Buy,Regeneron Pharmaceuticals Buy,Argus Research Company
05.08.15,Hold,Regeneron Pharmaceuticals Equal weight,Barclays Capital
05.08.15,Buy,Regeneron Pharmaceuticals Buy,Canaccord Adams
05.08.15,Sell,Regeneron Pharmaceuticals Sell,UBS AG
05.08.15,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
04.08.15,Buy,Regeneron Pharmaceuticals Buy,Brean Capital
27.07.15,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
22.07.15,Hold,Regeneron Pharmaceuticals Market Perform,Northland Capital
20.07.15,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
13.07.15,Buy,Regeneron Pharmaceuticals Buy,Deutsche Bank AG
15.06.15,Buy,Regeneron Pharmaceuticals Outperform,RBC Capital Markets
10.06.15,Buy,Regeneron Pharmaceuticals Buy,Chardan Capital Markets
20.05.15,Buy,Regeneron Pharmaceuticals Buy,Canaccord Adams
20.05.15,Buy,Regeneron Pharmaceuticals Buy,Argus Research Company
19.05.15,Buy,Regeneron Pharmaceuticals Buy,Brean Capital
08.05.15,Hold,Regeneron Pharmaceuticals Neutral,UBS AG
