Date,Buy/Sell/Hold,Name,Bank Name
22.08.19,Buy,Synopsys Buy,"Needham & Company, LLC"
03.04.19,Buy,Synopsys Buy,"Needham & Company, LLC"
28.03.19,Buy,Synopsys Buy,"Needham & Company, LLC"
06.12.18,Buy,Synopsys Buy,"Needham & Company, LLC"
06.12.18,Buy,Synopsys Buy,The Benchmark Company
23.08.18,Buy,Synopsys Buy,"Needham & Company, LLC"
30.11.17,Buy,Synopsys Buy,"Needham & Company, LLC"
22.11.17,Buy,Synopsys Top Pick,RBC Capital Markets
25.10.17,Buy,Synopsys Top Pick,RBC Capital Markets
17.08.17,Buy,Synopsys Outperform,RBC Capital Markets
17.08.17,Buy,Synopsys Buy,"Needham & Company, LLC"
18.05.17,Buy,Synopsys Outperform,RBC Capital Markets
18.05.17,Buy,Synopsys Buy,"Needham & Company, LLC"
01.12.16,Buy,Synopsys Buy,"Needham & Company, LLC"
06.06.16,Buy,Synopsys Outperform,RBC Capital Markets
09.09.15,Hold,Synopsys Hold,The Benchmark Company
20.08.15,Buy,Synopsys Buy,D.A. Davidson & Co.
20.08.15,Buy,Synopsys Outperform,RBC Capital Markets
21.05.15,Buy,Synopsys Buy,"Needham & Company, LLC"
21.05.15,Buy,Synopsys Outperform,RBC Capital Markets
19.02.15,Buy,Synopsys Outperform,RBC Capital Markets
19.02.15,Buy,Synopsys Buy,"Needham & Company, LLC"
05.12.14,Buy,Synopsys Buy,D.A. Davidson & Co.
04.12.14,Buy,Synopsys Buy,"Needham & Company, LLC"
07.12.12,Buy,Synopsys outperform,RBC Capital Markets
06.12.12,Buy,Synopsys buy,"Needham & Company, LLC"
24.02.12,Buy,Synopsys outperform,RBC Capital Markets
23.02.12,Buy,Synopsys buy,"Needham & Company, LLC"
17.08.11,Buy,Synopsys buy,D.A. Davidson & Co.
17.02.11,Buy,Synopsys outperform,RBC Capital Markets
14.06.10,Buy,Synopsys kaufen,RBC Capital Markets
09.04.10,Buy,Synopsys kaufen,D.A. Davidson & Co.
03.12.09,Buy,Synopsys buy,D.A. Davidson & Co.
21.05.09,Buy,Synopsys buy,D.A. Davidson & Co.
20.05.09,Buy,Synopsys buy,D.A. Davidson & Co.
20.02.09,Buy,Synopsys buy,D.A. Davidson & Co.
19.02.09,Buy,Synopsys buy,"Needham & Company, LLC"
29.12.08,Buy,Synopsys buy,D.A. Davidson & Co.
04.12.08,Buy,Synopsys outperform,"Cowen and Company, LLC"
04.12.08,Buy,Synopsys buy,"Needham & Company, LLC"
04.12.08,Hold,Synopsys hold,Citigroup Corp.
04.12.08,Buy,Synopsys buy,D.A. Davidson & Co.
21.08.08,Sell,Synopsys sell,Citigroup Corp.
21.08.08,Buy,Synopsys buy,"Needham & Company, LLC"
21.02.08,Buy,Synopsys buy,"Needham & Company, LLC"
21.02.08,Buy,Synopsys outperform,"Cowen and Company, LLC"
05.12.07,Buy,Synopsys outperform,"Cowen and Company, LLC"
07.11.07,Buy,Synopsys buy,"Needham & Company, LLC"
23.08.07,Buy,Synopsys buy,"Needham & Company, LLC"
01.02.07,Hold,Synopsys neutral,DA Davidson
22.08.19,Buy,Synopsys Buy,"Needham & Company, LLC"
03.04.19,Buy,Synopsys Buy,"Needham & Company, LLC"
28.03.19,Buy,Synopsys Buy,"Needham & Company, LLC"
06.12.18,Buy,Synopsys Buy,"Needham & Company, LLC"
06.12.18,Buy,Synopsys Buy,The Benchmark Company
23.08.18,Buy,Synopsys Buy,"Needham & Company, LLC"
30.11.17,Buy,Synopsys Buy,"Needham & Company, LLC"
22.11.17,Buy,Synopsys Top Pick,RBC Capital Markets
25.10.17,Buy,Synopsys Top Pick,RBC Capital Markets
17.08.17,Buy,Synopsys Outperform,RBC Capital Markets
17.08.17,Buy,Synopsys Buy,"Needham & Company, LLC"
18.05.17,Buy,Synopsys Outperform,RBC Capital Markets
18.05.17,Buy,Synopsys Buy,"Needham & Company, LLC"
01.12.16,Buy,Synopsys Buy,"Needham & Company, LLC"
06.06.16,Buy,Synopsys Outperform,RBC Capital Markets
09.09.15,Hold,Synopsys Hold,The Benchmark Company
20.08.15,Buy,Synopsys Buy,D.A. Davidson & Co.
20.08.15,Buy,Synopsys Outperform,RBC Capital Markets
21.05.15,Buy,Synopsys Buy,"Needham & Company, LLC"
21.05.15,Buy,Synopsys Outperform,RBC Capital Markets
19.02.15,Buy,Synopsys Outperform,RBC Capital Markets
19.02.15,Buy,Synopsys Buy,"Needham & Company, LLC"
05.12.14,Buy,Synopsys Buy,D.A. Davidson & Co.
04.12.14,Buy,Synopsys Buy,"Needham & Company, LLC"
07.12.12,Buy,Synopsys outperform,RBC Capital Markets
06.12.12,Buy,Synopsys buy,"Needham & Company, LLC"
24.02.12,Buy,Synopsys outperform,RBC Capital Markets
23.02.12,Buy,Synopsys buy,"Needham & Company, LLC"
17.08.11,Buy,Synopsys buy,D.A. Davidson & Co.
17.02.11,Buy,Synopsys outperform,RBC Capital Markets
14.06.10,Buy,Synopsys kaufen,RBC Capital Markets
09.04.10,Buy,Synopsys kaufen,D.A. Davidson & Co.
03.12.09,Buy,Synopsys buy,D.A. Davidson & Co.
21.05.09,Buy,Synopsys buy,D.A. Davidson & Co.
20.05.09,Buy,Synopsys buy,D.A. Davidson & Co.
20.02.09,Buy,Synopsys buy,D.A. Davidson & Co.
19.02.09,Buy,Synopsys buy,"Needham & Company, LLC"
29.12.08,Buy,Synopsys buy,D.A. Davidson & Co.
