Date,Buy/Sell/Hold,Name,Bank Name
14.07.23,Buy,T-Mobile US Outperform,Credit Suisse Group
05.06.23,Buy,T-Mobile US Buy,UBS AG
01.06.23,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
03.05.23,Buy,T-Mobile US Kaufen,DZ BANK
28.04.23,Buy,T-Mobile US Conviction Buy List,Goldman Sachs Group Inc.
28.04.23,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
28.04.23,Buy,T-Mobile US Outperform,Credit Suisse Group
12.04.23,Buy,T-Mobile US Outperform,Credit Suisse Group
06.04.23,Buy,T-Mobile US Outperform,Credit Suisse Group
04.04.23,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
22.03.23,Buy,T-Mobile US Kaufen,DZ BANK
15.03.23,Buy,T-Mobile US Outperform,RBC Capital Markets
17.02.23,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
02.02.23,Buy,T-Mobile US Buy,UBS AG
02.02.23,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
01.02.23,Buy,T-Mobile US Outperform,RBC Capital Markets
01.02.23,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
10.01.23,Buy,T-Mobile US Conviction Buy List,Goldman Sachs Group Inc.
05.01.23,Buy,T-Mobile US Outperform,RBC Capital Markets
05.01.23,Buy,T-Mobile US Buy,UBS AG
05.01.23,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
09.12.22,Buy,T-Mobile US Outperform,Credit Suisse Group
31.10.22,Buy,T-Mobile US Kaufen,DZ BANK
28.10.22,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
28.10.22,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
19.10.22,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
14.10.22,Buy,T-Mobile US Outperform,Credit Suisse Group
12.09.22,Buy,T-Mobile US Kaufen,DZ BANK
28.07.22,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
28.07.22,Buy,T-Mobile US Conviction Buy List,Goldman Sachs Group Inc.
27.07.22,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
14.07.22,Buy,T-Mobile US Outperform,RBC Capital Markets
07.07.22,Buy,T-Mobile US Overweight,Barclays Capital
01.06.22,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
28.04.22,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
27.04.22,Buy,T-Mobile US Outperform,RBC Capital Markets
27.04.22,Buy,T-Mobile US Overweight,JP Morgan Chase & Co.
11.04.22,Buy,T-Mobile US Outperform,Credit Suisse Group
03.02.22,Buy,T-Mobile US Outperform,RBC Capital Markets
03.02.22,Buy,T-Mobile US Overweight,Barclays Capital
