Date,Buy/Sell/Hold,Name,Bank Name
06:49,Hold,Tesla Neutral,UBS AG
21.07.23,Buy,Tesla Outperform,RBC Capital Markets
20.07.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
20.07.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
20.07.23,Hold,Tesla Hold,Jefferies & Company Inc.
20.07.23,Buy,Tesla Buy,UBS AG
14.07.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
06.07.23,Buy,Tesla Buy,UBS AG
03.07.23,Buy,Tesla Outperform,RBC Capital Markets
03.07.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
03.07.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
03.07.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
29.06.23,Buy,Tesla Outperform,RBC Capital Markets
26.06.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
21.06.23,Hold,Tesla Equal Weight,Barclays Capital
15.06.23,Buy,Tesla Outperform,RBC Capital Markets
05.06.23,Buy,Tesla Buy,UBS AG
30.05.23,Sell,Tesla Underperform,Bernstein Research
26.05.23,Buy,Tesla Outperform,RBC Capital Markets
01.05.23,Sell,Tesla Underperform,Bernstein Research
26.04.23,Hold,Tesla Hold,Jefferies & Company Inc.
20.04.23,Buy,Tesla Buy,Goldman Sachs Group Inc.
20.04.23,Sell,Tesla Underperform,Bernstein Research
20.04.23,Buy,Tesla Outperform,RBC Capital Markets
20.04.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
20.04.23,Buy,Tesla Buy,Jefferies & Company Inc.
18.04.23,Buy,Tesla Outperform,RBC Capital Markets
13.04.23,Buy,Tesla Buy,UBS AG
11.04.23,Buy,Tesla Outperform,RBC Capital Markets
03.04.23,Sell,Tesla Underperform,Bernstein Research
03.04.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
03.04.23,Buy,Tesla Outperform,RBC Capital Markets
24.03.23,Buy,Tesla Buy,UBS AG
08.03.23,Hold,Tesla Hold,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
06.03.23,Buy,Tesla Buy,Jefferies & Company Inc.
02.03.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
22.02.23,Sell,Tesla Underperform,Bernstein Research
21.02.23,Buy,Tesla Kaufen,DZ BANK
17.02.23,Buy,Tesla Buy,Goldman Sachs Group Inc.
15.02.23,Buy,Tesla Overweight,Barclays Capital
06.02.23,Buy,Tesla Outperform,RBC Capital Markets
30.01.23,Sell,Tesla Underperform,Bernstein Research
30.01.23,Buy,Tesla Buy,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
26.01.23,Sell,Tesla Underperform,Bernstein Research
26.01.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
26.01.23,Buy,Tesla Buy,Goldman Sachs Group Inc.
26.01.23,Buy,Tesla Buy,Goldman Sachs Group Inc.
26.01.23,Buy,Tesla Buy,UBS AG
25.01.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
23.01.23,Buy,Tesla Buy,UBS AG
06:49,Hold,Tesla Neutral,UBS AG
21.07.23,Buy,Tesla Outperform,RBC Capital Markets
20.07.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
20.07.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
20.07.23,Hold,Tesla Hold,Jefferies & Company Inc.
20.07.23,Buy,Tesla Buy,UBS AG
14.07.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
06.07.23,Buy,Tesla Buy,UBS AG
03.07.23,Buy,Tesla Outperform,RBC Capital Markets
03.07.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
03.07.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
03.07.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
29.06.23,Buy,Tesla Outperform,RBC Capital Markets
26.06.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
21.06.23,Hold,Tesla Equal Weight,Barclays Capital
15.06.23,Buy,Tesla Outperform,RBC Capital Markets
05.06.23,Buy,Tesla Buy,UBS AG
30.05.23,Sell,Tesla Underperform,Bernstein Research
26.05.23,Buy,Tesla Outperform,RBC Capital Markets
01.05.23,Sell,Tesla Underperform,Bernstein Research
26.04.23,Hold,Tesla Hold,Jefferies & Company Inc.
20.04.23,Buy,Tesla Buy,Goldman Sachs Group Inc.
20.04.23,Sell,Tesla Underperform,Bernstein Research
20.04.23,Buy,Tesla Outperform,RBC Capital Markets
20.04.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
20.04.23,Buy,Tesla Buy,Jefferies & Company Inc.
18.04.23,Buy,Tesla Outperform,RBC Capital Markets
13.04.23,Buy,Tesla Buy,UBS AG
11.04.23,Buy,Tesla Outperform,RBC Capital Markets
03.04.23,Sell,Tesla Underperform,Bernstein Research
03.04.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
03.04.23,Buy,Tesla Outperform,RBC Capital Markets
24.03.23,Buy,Tesla Buy,UBS AG
08.03.23,Hold,Tesla Hold,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
06.03.23,Buy,Tesla Buy,Jefferies & Company Inc.
02.03.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
22.02.23,Sell,Tesla Underperform,Bernstein Research
21.02.23,Buy,Tesla Kaufen,DZ BANK
17.02.23,Buy,Tesla Buy,Goldman Sachs Group Inc.
15.02.23,Buy,Tesla Overweight,Barclays Capital
06.02.23,Buy,Tesla Outperform,RBC Capital Markets
30.01.23,Sell,Tesla Underperform,Bernstein Research
30.01.23,Buy,Tesla Buy,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
26.01.23,Sell,Tesla Underperform,Bernstein Research
26.01.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
26.01.23,Buy,Tesla Buy,Goldman Sachs Group Inc.
26.01.23,Buy,Tesla Buy,Goldman Sachs Group Inc.
26.01.23,Buy,Tesla Buy,UBS AG
25.01.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
23.01.23,Buy,Tesla Buy,UBS AG
17.01.23,Hold,Tesla Underperform,Bernstein Research
17.01.23,Buy,Tesla Buy,Goldman Sachs Group Inc.
17.01.23,Sell,Tesla Buy,Jefferies & Company Inc.
12.01.23,Hold,Tesla Outperform,RBC Capital Markets
09.01.23,Hold,Tesla Kaufen,DZ BANK
03.01.23,Buy,Tesla Outperform,RBC Capital Markets
03.01.23,Hold,Tesla Underweight,JP Morgan Chase & Co.
02.01.23,Buy,Tesla Underperform,Bernstein Research
28.12.22,Buy,Tesla Kaufen,DZ BANK
15.12.22,Sell,Tesla Outperform,RBC Capital Markets
15.12.22,Hold,Tesla Outperform,RBC Capital Markets
14.12.22,Hold,Tesla Buy,Goldman Sachs Group Inc.
07.12.22,Buy,Tesla Underperform,Bernstein Research
20.10.22,Hold,Tesla Underperform,Bernstein Research
20.10.22,Hold,Tesla Buy,UBS AG
20.10.22,Buy,Tesla Buy,Deutsche Bank AG
20.10.22,Buy,Tesla Underweight,JP Morgan Chase & Co.
20.10.22,Sell,Tesla Outperform,RBC Capital Markets
20.10.22,Buy,Tesla Buy,Goldman Sachs Group Inc.
14.10.22,Sell,Tesla Hold,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
10.10.22,Hold,Tesla Buy,UBS AG
04.10.22,Buy,Tesla Kaufen,DZ BANK
03.10.22,Sell,Tesla Buy,UBS AG
03.10.22,Buy,Tesla Buy,Goldman Sachs Group Inc.
03.10.22,Sell,Tesla Underweight,JP Morgan Chase & Co.
07.09.22,Buy,Tesla Buy,UBS AG
26.08.22,Buy,Tesla Buy,Jefferies & Company Inc.
25.08.22,Buy,Tesla Kaufen,DZ BANK
25.08.22,Buy,Tesla Hold,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
21.07.22,Sell,Tesla Underweight,JP Morgan Chase & Co.
21.07.22,Sell,Tesla Outperform,Credit Suisse Group
21.07.22,Buy,Tesla Buy,UBS AG
21.07.22,Buy,Tesla Buy,Deutsche Bank AG
21.07.22,Hold,Tesla Hold,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
21.07.22,Buy,Tesla Outperform,RBC Capital Markets
21.07.22,Sell,Tesla Buy,Goldman Sachs Group Inc.
18.07.22,Sell,Tesla Underweight,Barclays Capital
14.07.22,Buy,Tesla Outperform,Credit Suisse Group
06.07.22,Buy,Tesla Buy,UBS AG
05.07.22,Buy,Tesla Underweight,JP Morgan Chase & Co.
04.07.22,Buy,Tesla Buy,Goldman Sachs Group Inc.
04.07.22,Sell,Tesla Buy,Jefferies & Company Inc.
30.06.22,Buy,Tesla Buy,Goldman Sachs Group Inc.
28.06.22,Sell,Tesla Buy,Deutsche Bank AG
24.06.22,Sell,Tesla Outperform,Credit Suisse Group
13.06.22,Buy,Tesla Outperform,RBC Capital Markets
10.06.22,Buy,Tesla Underweight,Barclays Capital
09.06.22,Buy,Tesla Buy,UBS AG
03.06.22,Sell,Tesla Overweight,Morgan Stanley
02.06.22,Buy,Tesla Underperform,Bernstein Research
06:49,Hold,Tesla Neutral,UBS AG
21.07.23,Buy,Tesla Outperform,RBC Capital Markets
20.07.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
20.07.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
20.07.23,Hold,Tesla Hold,Jefferies & Company Inc.
20.07.23,Buy,Tesla Buy,UBS AG
14.07.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
06.07.23,Buy,Tesla Buy,UBS AG
03.07.23,Buy,Tesla Outperform,RBC Capital Markets
03.07.23,Sell,Tesla Underweight,JP Morgan Chase & Co.
03.07.23,Hold,Tesla Neutral,Goldman Sachs Group Inc.
