Date,Buy/Sell/Hold,Name,Bank Name
29.03.19,Sell,The Kraft Heinz Company Underperform,Wolfe Research
05.02.19,Hold,The Kraft Heinz Company Hold,Deutsche Bank AG
26.12.18,Buy,The Kraft Heinz Company Buy,Standpoint Research
15.02.17,Buy,The Kraft Heinz Company Buy,Deutsche Bank AG
05.05.16,Buy,The Kraft Heinz Company Buy,UBS AG
05.05.16,Buy,The Kraft Heinz Company Outperform,RBC Capital Markets
05.05.16,Buy,The Kraft Heinz Company Buy,"Stifel, Nicolaus & Co., Inc."
24.07.15,Buy,The Kraft Heinz Company Market Perform,BMO Capital Markets
21.07.15,Buy,The Kraft Heinz Company Outperform,RBC Capital Markets
06.04.15,Buy,The Kraft Heinz Company Buy,"Stifel, Nicolaus & Co., Inc."
27.03.15,Buy,The Kraft Heinz Company Market Perform,BMO Capital Markets
26.03.15,Hold,The Kraft Heinz Company Hold,Deutsche Bank AG
26.03.15,Buy,The Kraft Heinz Company Buy,"Stifel, Nicolaus & Co., Inc."
26.03.15,Sell,The Kraft Heinz Company Sell,Argus Research Company
26.03.15,Buy,The Kraft Heinz Company Outperform,RBC Capital Markets
09.02.15,Hold,The Kraft Heinz Company Hold,Deutsche Bank AG
30.10.14,Hold,The Kraft Heinz Company Hold,Deutsche Bank AG
25.02.13,Hold,The Kraft Heinz Company halten,Jefferies & Company Inc.
26.11.12,Hold,The Kraft Heinz Company hold,"Stifel, Nicolaus & Co., Inc."
26.11.12,Buy,The Kraft Heinz Company kaufen,Die Actien-Börse
21.11.12,Hold,The Kraft Heinz Company sector perform,RBC Capital Markets
21.11.12,Hold,The Kraft Heinz Company neutral,Sarasin Research
03.10.12,Buy,The Kraft Heinz Company outperform,RBC Capital Markets
02.10.12,Buy,The Kraft Heinz Company buy,"Stifel, Nicolaus & Co., Inc."
11.09.12,Buy,The Kraft Heinz Company outperform,RBC Capital Markets
07.09.12,Buy,The Kraft Heinz Company buy,UBS AG
03.09.12,Hold,The Kraft Heinz Company halten,Hamburger Sparkasse AG (Haspa)
31.08.12,Buy,The Kraft Heinz Company buy,UBS AG
31.08.12,Hold,The Kraft Heinz Company sector perform,RBC Capital Markets
30.08.12,Hold,The Kraft Heinz Company neutral,Sarasin Research
21.08.12,Buy,The Kraft Heinz Company buy,UBS AG
07.08.12,Buy,The Kraft Heinz Company buy,Jefferies & Company Inc.
31.07.12,Buy,The Kraft Heinz Company buy,UBS AG
25.05.12,Hold,The Kraft Heinz Company sector perform,RBC Capital Markets
25.05.12,Hold,The Kraft Heinz Company neutral,Sarasin Research
21.05.12,Hold,The Kraft Heinz Company halten,Hamburger Sparkasse AG (Haspa)
07.05.12,Hold,The Kraft Heinz Company sector perform,RBC Capital Markets
07.05.12,Buy,The Kraft Heinz Company kaufen,Fuchsbriefe
04.05.12,Buy,The Kraft Heinz Company buy,UBS AG
05.04.12,Buy,The Kraft Heinz Company overweight,Barclays Capital
03.04.12,Buy,The Kraft Heinz Company buy,UBS AG
28.02.12,Hold,The Kraft Heinz Company halten,Hamburger Sparkasse AG (Haspa)
22.02.12,Hold,The Kraft Heinz Company sector perform,RBC Capital Markets
20.02.12,Hold,The Kraft Heinz Company neutral,Sarasin Research
30.01.12,Buy,The Kraft Heinz Company kaufen,Euro am Sonntag
18.01.12,Buy,The Kraft Heinz Company buy,"Stifel, Nicolaus & Co., Inc."
18.01.12,Buy,The Kraft Heinz Company buy,UBS AG
11.01.12,Buy,The Kraft Heinz Company overweight,Barclays Capital
23.12.11,Hold,The Kraft Heinz Company halten,Hamburger Sparkasse AG (Haspa)
07.12.11,Buy,The Kraft Heinz Company overweight,Barclays Capital
29.03.19,Sell,The Kraft Heinz Company Underperform,Wolfe Research
05.02.19,Hold,The Kraft Heinz Company Hold,Deutsche Bank AG
26.12.18,Buy,The Kraft Heinz Company Buy,Standpoint Research
15.02.17,Buy,The Kraft Heinz Company Buy,Deutsche Bank AG
05.05.16,Buy,The Kraft Heinz Company Buy,UBS AG
05.05.16,Buy,The Kraft Heinz Company Outperform,RBC Capital Markets
05.05.16,Buy,The Kraft Heinz Company Buy,"Stifel, Nicolaus & Co., Inc."
24.07.15,Buy,The Kraft Heinz Company Market Perform,BMO Capital Markets
21.07.15,Buy,The Kraft Heinz Company Outperform,RBC Capital Markets
06.04.15,Buy,The Kraft Heinz Company Buy,"Stifel, Nicolaus & Co., Inc."
27.03.15,Buy,The Kraft Heinz Company Market Perform,BMO Capital Markets
26.03.15,Hold,The Kraft Heinz Company Hold,Deutsche Bank AG
26.03.15,Buy,The Kraft Heinz Company Buy,"Stifel, Nicolaus & Co., Inc."
26.03.15,Sell,The Kraft Heinz Company Sell,Argus Research Company
26.03.15,Buy,The Kraft Heinz Company Outperform,RBC Capital Markets
09.02.15,Hold,The Kraft Heinz Company Hold,Deutsche Bank AG
30.10.14,Hold,The Kraft Heinz Company Hold,Deutsche Bank AG
25.02.13,Hold,The Kraft Heinz Company halten,Jefferies & Company Inc.
26.11.12,Hold,The Kraft Heinz Company hold,"Stifel, Nicolaus & Co., Inc."
26.11.12,Buy,The Kraft Heinz Company kaufen,Die Actien-Börse
21.11.12,Hold,The Kraft Heinz Company sector perform,RBC Capital Markets
21.11.12,Hold,The Kraft Heinz Company neutral,Sarasin Research
03.10.12,Buy,The Kraft Heinz Company outperform,RBC Capital Markets
02.10.12,Buy,The Kraft Heinz Company buy,"Stifel, Nicolaus & Co., Inc."
11.09.12,Buy,The Kraft Heinz Company outperform,RBC Capital Markets
07.09.12,Buy,The Kraft Heinz Company buy,UBS AG
03.09.12,Hold,The Kraft Heinz Company halten,Hamburger Sparkasse AG (Haspa)
31.08.12,Buy,The Kraft Heinz Company buy,UBS AG
31.08.12,Hold,The Kraft Heinz Company sector perform,RBC Capital Markets
30.08.12,Hold,The Kraft Heinz Company neutral,Sarasin Research
21.08.12,Buy,The Kraft Heinz Company buy,UBS AG
07.08.12,Buy,The Kraft Heinz Company buy,Jefferies & Company Inc.
31.07.12,Buy,The Kraft Heinz Company buy,UBS AG
25.05.12,Hold,The Kraft Heinz Company sector perform,RBC Capital Markets
25.05.12,Hold,The Kraft Heinz Company neutral,Sarasin Research
21.05.12,Hold,The Kraft Heinz Company halten,Hamburger Sparkasse AG (Haspa)
07.05.12,Hold,The Kraft Heinz Company sector perform,RBC Capital Markets
07.05.12,Buy,The Kraft Heinz Company kaufen,Fuchsbriefe
04.05.12,Buy,The Kraft Heinz Company buy,UBS AG
05.04.12,Buy,The Kraft Heinz Company overweight,Barclays Capital
03.04.12,Buy,The Kraft Heinz Company buy,UBS AG
28.02.12,Hold,The Kraft Heinz Company halten,Hamburger Sparkasse AG (Haspa)
22.02.12,Hold,The Kraft Heinz Company sector perform,RBC Capital Markets
20.02.12,Hold,The Kraft Heinz Company neutral,Sarasin Research
30.01.12,Buy,The Kraft Heinz Company kaufen,Euro am Sonntag
18.01.12,Buy,The Kraft Heinz Company buy,"Stifel, Nicolaus & Co., Inc."
18.01.12,Buy,The Kraft Heinz Company buy,UBS AG
11.01.12,Buy,The Kraft Heinz Company overweight,Barclays Capital
23.12.11,Hold,The Kraft Heinz Company halten,Hamburger Sparkasse AG (Haspa)
07.12.11,Buy,The Kraft Heinz Company overweight,Barclays Capital
21.11.11,Sell,The Kraft Heinz Company sector perform,RBC Capital Markets
11.11.11,Hold,The Kraft Heinz Company kaufen,Raiffeisen Centrobank AG
07.11.11,Buy,The Kraft Heinz Company sector perform,RBC Capital Markets
