Date,Buy/Sell/Hold,Name,Bank Name
14.07.17,Buy,Verisk Analytics A Market Perform,BMO Capital Markets
09.05.17,Hold,Verisk Analytics A Sector Perform,RBC Capital Markets
20.01.17,Hold,Verisk Analytics A Sector Perform,RBC Capital Markets
29.10.15,Sell,Verisk Analytics A Sell,UBS AG
21.07.15,Sell,Verisk Analytics A Sell,UBS AG
01.05.15,Buy,Verisk Analytics A Market Perform,BMO Capital Markets
30.04.15,Hold,Verisk Analytics A Neutral,UBS AG
26.02.15,Hold,Verisk Analytics A Neutral,UBS AG
26.02.15,Buy,Verisk Analytics A overweight,Barclays Capital
11.11.14,Hold,Verisk Analytics A Hold,Deutsche Bank AG
