Date,Buy/Sell/Hold,Name,Bank Name
01.08.19,Hold,Vertex Pharmaceuticals Hold,"Needham & Company, LLC"
06.02.19,Hold,Vertex Pharmaceuticals Hold,Maxim Group
26.10.18,Buy,Vertex Pharmaceuticals Buy,H.C. Wainwright & Co.
01.10.18,Buy,Vertex Pharmaceuticals Overweight,Cantor Fitzgerald
07.08.18,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
05.03.18,Buy,Vertex Pharmaceuticals Buy,Maxim Group
01.02.18,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
18.10.17,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
29.09.17,Buy,Vertex Pharmaceuticals Buy,BTIG Research
15.09.17,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
19.07.17,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
18.07.17,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
23.06.17,Buy,Vertex Pharmaceuticals Buy,"Needham & Company, LLC"
31.03.17,Buy,Vertex Pharmaceuticals Outperform,BMO Capital Markets
31.03.17,Buy,Vertex Pharmaceuticals Buy,Maxim Group
29.03.17,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
09.03.17,Buy,Vertex Pharmaceuticals Buy,UBS AG
26.01.17,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
24.10.16,Hold,Vertex Pharmaceuticals Neutral,H.C. Wainwright & Co.
15.09.16,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
28.04.16,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
28.04.16,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
08.04.16,Buy,Vertex Pharmaceuticals Market Perform,BMO Capital Markets
01.04.16,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
18.03.16,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
01.12.15,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
30.10.15,Buy,Vertex Pharmaceuticals Buy,H.C. Wainwright & Co.
28.09.15,Buy,Vertex Pharmaceuticals Buy,Argus Research Company
14.09.15,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
23.06.15,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
10.04.15,Buy,Vertex Pharmaceuticals Buy,Canaccord Adams
29.01.15,Buy,Vertex Pharmaceuticals Buy,Deutsche Bank AG
29.01.15,Hold,Vertex Pharmaceuticals Hold,Maxim Group
29.01.15,Hold,Vertex Pharmaceuticals Hold,"Needham & Company, LLC"
01.12.14,Buy,Vertex Pharmaceuticals Buy,Maxim Group
06.11.14,Buy,Vertex Pharmaceuticals Buy,CRT Capital
29.10.14,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
10.10.14,Buy,Vertex Pharmaceuticals Buy,Maxim Group
17.09.14,Buy,Vertex Pharmaceuticals Buy,Deutsche Bank AG
14.12.12,Sell,Vertex Pharmaceuticals sell,Goldman Sachs Group Inc.
05.12.12,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
13.11.12,Hold,Vertex Pharmaceuticals neutral,Credit Suisse Group
05.11.12,Sell,Vertex Pharmaceuticals sell,Goldman Sachs Group Inc.
02.11.12,Buy,Vertex Pharmaceuticals buy,UBS AG
02.11.12,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
12.10.12,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
13.09.12,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
30.08.12,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
02.08.12,Buy,Vertex Pharmaceuticals buy,Banc of America Securities-Merrill Lynch
01.08.12,Hold,Vertex Pharmaceuticals neutral,Piper Jaffray & Co.
01.08.19,Hold,Vertex Pharmaceuticals Hold,"Needham & Company, LLC"
06.02.19,Hold,Vertex Pharmaceuticals Hold,Maxim Group
26.10.18,Buy,Vertex Pharmaceuticals Buy,H.C. Wainwright & Co.
01.10.18,Buy,Vertex Pharmaceuticals Overweight,Cantor Fitzgerald
07.08.18,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
05.03.18,Buy,Vertex Pharmaceuticals Buy,Maxim Group
01.02.18,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
18.10.17,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
29.09.17,Buy,Vertex Pharmaceuticals Buy,BTIG Research
15.09.17,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
19.07.17,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
18.07.17,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
23.06.17,Buy,Vertex Pharmaceuticals Buy,"Needham & Company, LLC"
31.03.17,Buy,Vertex Pharmaceuticals Outperform,BMO Capital Markets
31.03.17,Buy,Vertex Pharmaceuticals Buy,Maxim Group
29.03.17,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
09.03.17,Buy,Vertex Pharmaceuticals Buy,UBS AG
26.01.17,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
24.10.16,Hold,Vertex Pharmaceuticals Neutral,H.C. Wainwright & Co.
15.09.16,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
28.04.16,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
28.04.16,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
08.04.16,Buy,Vertex Pharmaceuticals Market Perform,BMO Capital Markets
01.04.16,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
18.03.16,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
01.12.15,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
30.10.15,Buy,Vertex Pharmaceuticals Buy,H.C. Wainwright & Co.
28.09.15,Buy,Vertex Pharmaceuticals Buy,Argus Research Company
14.09.15,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
23.06.15,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
10.04.15,Buy,Vertex Pharmaceuticals Buy,Canaccord Adams
29.01.15,Buy,Vertex Pharmaceuticals Buy,Deutsche Bank AG
29.01.15,Hold,Vertex Pharmaceuticals Hold,Maxim Group
29.01.15,Hold,Vertex Pharmaceuticals Hold,"Needham & Company, LLC"
01.12.14,Buy,Vertex Pharmaceuticals Buy,Maxim Group
06.11.14,Buy,Vertex Pharmaceuticals Buy,CRT Capital
29.10.14,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
10.10.14,Buy,Vertex Pharmaceuticals Buy,Maxim Group
17.09.14,Buy,Vertex Pharmaceuticals Buy,Deutsche Bank AG
14.12.12,Sell,Vertex Pharmaceuticals sell,Goldman Sachs Group Inc.
05.12.12,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
13.11.12,Hold,Vertex Pharmaceuticals neutral,Credit Suisse Group
05.11.12,Sell,Vertex Pharmaceuticals sell,Goldman Sachs Group Inc.
02.11.12,Buy,Vertex Pharmaceuticals buy,UBS AG
02.11.12,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
12.10.12,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
13.09.12,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
30.08.12,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
02.08.12,Buy,Vertex Pharmaceuticals buy,Banc of America Securities-Merrill Lynch
01.08.12,Hold,Vertex Pharmaceuticals neutral,Piper Jaffray & Co.
01.08.12,Hold,Vertex Pharmaceuticals outperform,Credit Suisse Group
31.07.12,Hold,Vertex Pharmaceuticals outperform,RBC Capital Markets
31.07.12,Buy,Vertex Pharmaceuticals buy,UBS AG
27.07.12,Buy,Vertex Pharmaceuticals kaufen,Fuchsbriefe
02.07.12,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
12.06.12,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
28.05.12,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
09.05.12,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
08.05.12,Buy,Vertex Pharmaceuticals buy,"Needham & Company, LLC"
30.04.12,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
12.04.12,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
28.03.12,Buy,Vertex Pharmaceuticals neutral,UBS AG
06.02.12,Buy,Vertex Pharmaceuticals neutral,Goldman Sachs Group Inc.
02.02.12,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
16.12.11,Buy,Vertex Pharmaceuticals outperform,Credit Suisse Group
05.12.11,Buy,Vertex Pharmaceuticals buy,Citigroup Corp.
22.11.11,Buy,Vertex Pharmaceuticals buy,Citigroup Corp.
11.11.11,Buy,Vertex Pharmaceuticals neutral,UBS AG
08.11.11,Hold,Vertex Pharmaceuticals neutral,Robert W. Baird & Co. Incorporated
07.11.11,Buy,Vertex Pharmaceuticals sector perform,RBC Capital Markets
03.11.11,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
13.10.11,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
11.10.11,Buy,Vertex Pharmaceuticals buy,Citigroup Corp.
06.10.11,Buy,Vertex Pharmaceuticals buy,Citigroup Corp.
05.10.11,Buy,Vertex Pharmaceuticals buy,Citigroup Corp.
04.10.11,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
07.09.11,Buy,Vertex Pharmaceuticals buy,Citigroup Corp.
30.08.11,Buy,Vertex Pharmaceuticals buy,Citigroup Corp.
18.08.11,Buy,Vertex Pharmaceuticals outperform,William Blair
04.04.11,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
25.02.11,Buy,Vertex Pharmaceuticals hold,ThinkEquity Partners LLC
24.02.11,Buy,Vertex Pharmaceuticals hold,ThinkEquity Partners LLC
24.02.11,Hold,Vertex Pharmaceuticals overweight,Piper Jaffray & Co.
24.02.11,Hold,Vertex Pharmaceuticals buy,Goldman Sachs Group Inc.
08.02.11,Buy,Vertex Pharmaceuticals buy,Goldman Sachs Group Inc.
22.12.10,Buy,Vertex Pharmaceuticals outperform,RBC Capital Markets
30.07.10,Buy,Vertex Pharmaceuticals neutral,Wedbush Morgan Securities Inc.
27.05.10,Buy,Vertex Pharmaceuticals kaufen,"Needham & Company, LLC"
26.05.10,Buy,Vertex Pharmaceuticals halten,Wedbush Morgan Securities Inc.
23.04.10,Sell,Vertex Pharmaceuticals kaufen,"Needham & Company, LLC"
13.04.10,Buy,Vertex Pharmaceuticals halten,JP Morgan Chase & Co.
05.02.10,Hold,Vertex Pharmaceuticals kaufen,Morgan Stanley
04.12.09,Sell,Vertex Pharmaceuticals outperform,Leerink Swann LLC
03.12.09,Buy,Vertex Pharmaceuticals neutral,Wedbush Morgan Securities Inc.
17.11.09,Buy,Vertex Pharmaceuticals neutral,Merriman Curhan Ford & Co
05.11.09,Buy,Vertex Pharmaceuticals overweight,Morgan Stanley
03.11.09,Buy,Vertex Pharmaceuticals neutral,Goldman Sachs Group Inc.
05.05.09,Buy,Vertex Pharmaceuticals,Global Biotech Investing
04.03.09,Buy,Vertex Pharmaceuticals outperform,Credit Suisse Group
10.02.09,Hold,Vertex Pharmaceuticals outperform,Credit Suisse Group
01.08.19,Hold,Vertex Pharmaceuticals Hold,"Needham & Company, LLC"
06.02.19,Hold,Vertex Pharmaceuticals Hold,Maxim Group
26.10.18,Buy,Vertex Pharmaceuticals Buy,H.C. Wainwright & Co.
01.10.18,Buy,Vertex Pharmaceuticals Overweight,Cantor Fitzgerald
07.08.18,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
05.03.18,Buy,Vertex Pharmaceuticals Buy,Maxim Group
01.02.18,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
18.10.17,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
29.09.17,Buy,Vertex Pharmaceuticals Buy,BTIG Research
15.09.17,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
19.07.17,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
18.07.17,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
23.06.17,Buy,Vertex Pharmaceuticals Buy,"Needham & Company, LLC"
31.03.17,Buy,Vertex Pharmaceuticals Outperform,BMO Capital Markets
31.03.17,Buy,Vertex Pharmaceuticals Buy,Maxim Group
29.03.17,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
09.03.17,Buy,Vertex Pharmaceuticals Buy,UBS AG
26.01.17,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
24.10.16,Hold,Vertex Pharmaceuticals Neutral,H.C. Wainwright & Co.
15.09.16,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
28.04.16,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
28.04.16,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
08.04.16,Buy,Vertex Pharmaceuticals Market Perform,BMO Capital Markets
01.04.16,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
18.03.16,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
01.12.15,Buy,Vertex Pharmaceuticals Buy,"Stifel, Nicolaus & Co., Inc."
30.10.15,Buy,Vertex Pharmaceuticals Buy,H.C. Wainwright & Co.
28.09.15,Buy,Vertex Pharmaceuticals Buy,Argus Research Company
14.09.15,Buy,Vertex Pharmaceuticals overweight,Barclays Capital
23.06.15,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
10.04.15,Buy,Vertex Pharmaceuticals Buy,Canaccord Adams
29.01.15,Buy,Vertex Pharmaceuticals Buy,Deutsche Bank AG
29.01.15,Hold,Vertex Pharmaceuticals Hold,Maxim Group
29.01.15,Hold,Vertex Pharmaceuticals Hold,"Needham & Company, LLC"
01.12.14,Buy,Vertex Pharmaceuticals Buy,Maxim Group
06.11.14,Buy,Vertex Pharmaceuticals Buy,CRT Capital
29.10.14,Buy,Vertex Pharmaceuticals Outperform,RBC Capital Markets
10.10.14,Buy,Vertex Pharmaceuticals Buy,Maxim Group
