Date,Buy/Sell/Hold,Name,Bank Name
03.04.19,Hold,Walgreens Boots Alliance Hold,Pivotal Research Group
19.12.18,Hold,Walgreens Boots Alliance Peer Perform,Wolfe Research
15.10.18,Hold,Walgreens Boots Alliance Hold,Pivotal Research Group
02.07.18,Hold,Walgreens Boots Alliance Hold,Pivotal Research Group
29.06.18,Hold,Walgreens Boots Alliance Neutral,Robert W. Baird & Co. Incorporated
23.03.18,Hold,Walgreens Boots Alliance Hold,Pivotal Research Group
08.03.18,Hold,Walgreens Boots Alliance Equal weight,Barclays Capital
10.01.18,Buy,Walgreens Boots Alliance Buy,"Needham & Company, LLC"
04.12.17,Hold,Walgreens Boots Alliance Hold,Deutsche Bank AG
24.10.17,Hold,Walgreens Boots Alliance Hold,Pivotal Research Group
19.09.17,Buy,Walgreens Boots Alliance Outperform,RBC Capital Markets
28.06.17,Hold,Walgreens Boots Alliance Hold,"Needham & Company, LLC"
04.04.17,Hold,Walgreens Boots Alliance Hold,Pivotal Research Group
20.10.16,Buy,Walgreens Boots Alliance Buy,Deutsche Bank AG
07.07.16,Buy,Walgreens Boots Alliance Buy,Mizuho
10.03.16,Hold,Walgreens Boots Alliance Equal weight,Barclays Capital
01.03.16,Buy,Walgreens Boots Alliance Buy,Mizuho
22.01.16,Buy,Walgreens Boots Alliance Outperform,Robert W. Baird & Co. Incorporated
29.10.15,Hold,Walgreens Boots Alliance Equal weight,Barclays Capital
10.07.15,Buy,Walgreens Boots Alliance Buy,Deutsche Bank AG
10.07.15,Hold,Walgreens Boots Alliance Neutral,Mizuho
09.07.15,Hold,Walgreens Boots Alliance Mkt Perform,FBR Capital
10.04.15,Buy,Walgreens Boots Alliance Buy,UBS AG
08.04.15,Hold,Walgreens Boots Alliance Neutral,Mizuho
19.03.15,Buy,Walgreens Boots Alliance Buy,Deutsche Bank AG
