Date,Buy/Sell/Hold,Name,Bank Name
30.08.19,Buy,Workday A Market Perform,BMO Capital Markets
13.08.19,Buy,Workday A Buy,Compass Point
29.05.19,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
29.05.19,Buy,Workday A Market Perform,BMO Capital Markets
01.03.19,Buy,Workday A Buy,"Needham & Company, LLC"
01.03.19,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
01.03.19,Buy,Workday A Outperform,BMO Capital Markets
26.02.19,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
30.11.18,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
30.11.18,Buy,Workday A Market Perform,BMO Capital Markets
05.09.18,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
05.09.18,Buy,Workday A Market Perform,BMO Capital Markets
22.08.18,Buy,Workday A Buy,"Needham & Company, LLC"
01.06.18,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
01.06.18,Buy,Workday A Market Perform,BMO Capital Markets
11.04.18,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
28.02.18,Buy,Workday A Buy,Canaccord Adams
28.02.18,Hold,Workday A Equal weight,Barclays Capital
28.02.18,Buy,Workday A Buy,"Needham & Company, LLC"
28.02.18,Buy,Workday A Market Perform,BMO Capital Markets
12.02.18,Buy,Workday A Buy,"Needham & Company, LLC"
30.11.17,Buy,Workday A Hold,"Stifel, Nicolaus & Co., Inc."
09.11.17,Sell,Workday A Sell,UBS AG
18.08.17,Buy,Workday A Market Perform,BMO Capital Markets
02.06.17,Hold,Workday A Neutral,Wedbush Morgan Securities Inc.
02.06.17,Buy,Workday A Buy,UBS AG
02.06.17,Buy,Workday A Outperform,RBC Capital Markets
02.06.17,Buy,Workday A Hold,"Stifel, Nicolaus & Co., Inc."
02.06.17,Buy,Workday A Market Perform,BMO Capital Markets
24.05.17,Buy,Workday A Outperform,RBC Capital Markets
28.02.17,Hold,Workday A Neutral,Wedbush Morgan Securities Inc.
16.02.17,Hold,Workday A Neutral,Wedbush Morgan Securities Inc.
02.12.16,Buy,Workday A Market Perform,BMO Capital Markets
03.10.16,Buy,Workday A Buy,Canaccord Adams
28.09.16,Hold,Workday A Neutral,Wedbush Morgan Securities Inc.
16.09.16,Hold,Workday A Hold,Deutsche Bank AG
15.06.16,Buy,Workday A Market Perform,BMO Capital Markets
31.05.16,Hold,Workday A Hold,Cross Research
27.05.16,Sell,Workday A Underperform,Wedbush Morgan Securities Inc.
26.05.16,Hold,Workday A Equal weight,Barclays Capital
26.05.16,Hold,Workday A Hold,Wunderlich
25.05.16,Buy,Workday A Buy,"Needham & Company, LLC"
25.04.16,Hold,Workday A Sector Weight,Pacific Crest Securities Inc.
04.04.16,Buy,Workday A Outperform,RBC Capital Markets
01.03.16,Buy,Workday A Buy,"Needham & Company, LLC"
01.03.16,Buy,Workday A Outperform,FBR Capital
25.02.16,Hold,Workday A Neutral,Wedbush Morgan Securities Inc.
23.02.16,Hold,Workday A Hold,Deutsche Bank AG
27.01.16,Hold,Workday A Hold,Wunderlich
20.11.15,Buy,Workday A overweight,Barclays Capital
30.08.19,Buy,Workday A Market Perform,BMO Capital Markets
13.08.19,Buy,Workday A Buy,Compass Point
29.05.19,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
29.05.19,Buy,Workday A Market Perform,BMO Capital Markets
01.03.19,Buy,Workday A Buy,"Needham & Company, LLC"
01.03.19,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
01.03.19,Buy,Workday A Outperform,BMO Capital Markets
26.02.19,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
30.11.18,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
30.11.18,Buy,Workday A Market Perform,BMO Capital Markets
05.09.18,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
05.09.18,Buy,Workday A Market Perform,BMO Capital Markets
22.08.18,Buy,Workday A Buy,"Needham & Company, LLC"
01.06.18,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
01.06.18,Buy,Workday A Market Perform,BMO Capital Markets
11.04.18,Buy,Workday A Buy,"Monness, Crespi, Hardt & Co."
28.02.18,Buy,Workday A Buy,Canaccord Adams
28.02.18,Hold,Workday A Equal weight,Barclays Capital
28.02.18,Buy,Workday A Buy,"Needham & Company, LLC"
28.02.18,Buy,Workday A Market Perform,BMO Capital Markets
12.02.18,Buy,Workday A Buy,"Needham & Company, LLC"
30.11.17,Buy,Workday A Hold,"Stifel, Nicolaus & Co., Inc."
09.11.17,Sell,Workday A Sell,UBS AG
18.08.17,Buy,Workday A Market Perform,BMO Capital Markets
02.06.17,Hold,Workday A Neutral,Wedbush Morgan Securities Inc.
02.06.17,Buy,Workday A Buy,UBS AG
02.06.17,Buy,Workday A Outperform,RBC Capital Markets
02.06.17,Buy,Workday A Hold,"Stifel, Nicolaus & Co., Inc."
02.06.17,Buy,Workday A Market Perform,BMO Capital Markets
24.05.17,Buy,Workday A Outperform,RBC Capital Markets
28.02.17,Hold,Workday A Neutral,Wedbush Morgan Securities Inc.
16.02.17,Hold,Workday A Neutral,Wedbush Morgan Securities Inc.
02.12.16,Buy,Workday A Market Perform,BMO Capital Markets
03.10.16,Buy,Workday A Buy,Canaccord Adams
28.09.16,Hold,Workday A Neutral,Wedbush Morgan Securities Inc.
16.09.16,Hold,Workday A Hold,Deutsche Bank AG
15.06.16,Buy,Workday A Market Perform,BMO Capital Markets
31.05.16,Hold,Workday A Hold,Cross Research
27.05.16,Sell,Workday A Underperform,Wedbush Morgan Securities Inc.
26.05.16,Hold,Workday A Equal weight,Barclays Capital
26.05.16,Hold,Workday A Hold,Wunderlich
25.05.16,Buy,Workday A Buy,"Needham & Company, LLC"
25.04.16,Hold,Workday A Sector Weight,Pacific Crest Securities Inc.
04.04.16,Buy,Workday A Outperform,RBC Capital Markets
01.03.16,Buy,Workday A Buy,"Needham & Company, LLC"
01.03.16,Buy,Workday A Outperform,FBR Capital
25.02.16,Hold,Workday A Neutral,Wedbush Morgan Securities Inc.
23.02.16,Hold,Workday A Hold,Deutsche Bank AG
27.01.16,Hold,Workday A Hold,Wunderlich
20.11.15,Buy,Workday A overweight,Barclays Capital
20.11.15,Buy,Workday A Buy,Canaccord Adams
20.11.15,Buy,Workday A Outperform,Northland Capital
16.11.15,Buy,Workday A Outperform,RBC Capital Markets
12.11.15,Buy,Workday A overweight,Barclays Capital
30.09.15,Buy,Workday A Buy,Canaccord Adams
27.08.15,Buy,Workday A Hold,Deutsche Bank AG
27.08.15,Buy,Workday A overweight,Barclays Capital
27.08.15,Buy,Workday A Buy,"Needham & Company, LLC"
27.08.15,Buy,Workday A Outperform,Northland Capital
27.08.15,Buy,Workday A Outperform,RBC Capital Markets
27.08.15,Buy,Workday A Outperform,FBR Capital
25.08.15,Buy,Workday A Outperform,Oppenheimer & Co. Inc.
25.08.15,Buy,Workday A Buy,D.A. Davidson & Co.
09.06.15,Buy,Workday A Hold,Wunderlich
27.05.15,Buy,Workday A overweight,Barclays Capital
27.05.15,Buy,Workday A Buy,Canaccord Adams
17.03.15,Buy,Workday A Hold,Brean Capital
26.02.15,Hold,Workday A Buy,UBS AG
26.02.15,Buy,Workday A Outperform,FBR Capital
26.02.15,Buy,Workday A Outperform,Northland Capital
25.11.14,Buy,Workday A Hold,Deutsche Bank AG
25.11.14,Buy,Workday A Outperform,FBR Capital
13.10.14,Sell,Workday A Outperform,Northland Capital
19.10.12,Buy,Workday A neutral,UBS AG
