Date,Buy/Sell/Hold,Name,Bank Name
13.08.19,Hold,Xcel Energy Equal weight,Barclays Capital
02.12.16,Hold,Xcel Energy Equal weight,Barclays Capital
17.04.15,Buy,Xcel Energy Buy,Argus Research Company
24.03.15,Buy,Xcel Energy overweight,Barclays Capital
30.01.15,Hold,Xcel Energy Equal weight,Barclays Capital
09.01.15,Hold,Xcel Energy Sector Perform,RBC Capital Markets
01.12.14,Hold,Xcel Energy Neutral,Robert W. Baird & Co. Incorporated
14.05.12,Buy,Xcel Energy outperform,Robert W. Baird & Co. Incorporated
13.01.12,Hold,Xcel Energy neutral,Robert W. Baird & Co. Incorporated
15.11.11,Buy,Xcel Energy outperform,RBC Capital Markets
21.10.11,Hold,Xcel Energy neutral,D.A. Davidson & Co.
12.08.11,Buy,Xcel Energy outperform,Robert W. Baird & Co. Incorporated
29.07.11,Hold,Xcel Energy neutral,D.A. Davidson & Co.
20.07.11,Hold,Xcel Energy neutral,D.A. Davidson & Co.
24.06.11,Buy,Xcel Energy outperform,RBC Capital Markets
24.01.11,Hold,Xcel Energy neutral,D.A. Davidson & Co.
08.11.10,Hold,Xcel Energy equal-weight,Barclays Capital
24.07.07,Hold,Xcel Energy equal-weight,Lehman Brothers
23.05.07,Sell,Xcel Energy underweight,Lehman Brothers
30.04.07,Hold,Xcel Energy neutral,Banc of America Sec.
29.08.06,Hold,Xcel Energy Neutral,Robert W. Baird
02.02.06,Hold,Xcel Energy Hold,Smith Barney Citigroup
14.06.05,Hold,Xcel Energy Hold,Deutsche Securities
27.05.05,Buy,Xcel Energy Buy,Smith Barney Citigroup
