Date,Buy/Sell/Hold,Name,Bank Name
02.08.19,Buy,Zscaler Market Perform,BMO Capital Markets
31.05.19,Buy,Zscaler Strong Buy,"Needham & Company, LLC"
23.05.19,Buy,Zscaler Outperform,"Cowen and Company, LLC"
01.03.19,Buy,Zscaler Strong Buy,"Needham & Company, LLC"
19.10.18,Buy,Zscaler Outperform,Wedbush Morgan Securities Inc.
18.10.18,Buy,Zscaler Outperform,Robert W. Baird & Co. Incorporated
10.09.18,Hold,Zscaler Neutral,BTIG Research
06.09.18,Buy,Zscaler Strong Buy,"Needham & Company, LLC"
07.06.18,Buy,Zscaler Strong Buy,"Needham & Company, LLC"
10.04.18,Hold,Zscaler Hold,Deutsche Bank AG
10.04.18,Hold,Zscaler Equal weight,Barclays Capital
10.04.18,Buy,Zscaler Buy,BTIG Research
10.04.18,Buy,Zscaler Strong Buy,"Needham & Company, LLC"
