Date,Buy/Sell/Hold,Name,Bank Name
20.07.20,Hold,eBay Neutral,Goldman Sachs Group Inc.
28.01.20,Sell,eBay Underperform,Jefferies & Company Inc.
22.10.19,Hold,eBay Hold,Deutsche Bank AG
11.10.19,Buy,eBay Outperform,Credit Suisse Group
04.09.19,Hold,eBay Neutral,UBS AG
18.07.19,Buy,eBay Outperform,Credit Suisse Group
18.07.19,Buy,eBay Buy,Aegis Capital
24.04.19,Buy,eBay Buy,The Benchmark Company
30.01.19,Buy,eBay Buy,The Benchmark Company
02.01.19,Buy,eBay Buy,Aegis Capital
31.10.18,Buy,eBay Buy,The Benchmark Company
22.10.18,Hold,eBay Neutral,"Monness, Crespi, Hardt & Co."
19.10.18,Hold,eBay Neutral,JP Morgan Chase & Co.
19.10.18,Buy,eBay Hold,"Stifel, Nicolaus & Co., Inc."
17.10.18,Buy,eBay Outperform,RBC Capital Markets
14.09.18,Hold,eBay Neutral,Wedbush Morgan Securities Inc.
03.09.18,Buy,eBay Outperform,RBC Capital Markets
19.07.18,Buy,eBay Buy,The Benchmark Company
19.07.18,Buy,eBay Buy,"Monness, Crespi, Hardt & Co."
19.07.18,Buy,eBay Hold,"Stifel, Nicolaus & Co., Inc."
22.05.18,Hold,eBay Neutral,Macquarie Research
26.04.18,Hold,eBay Hold,Jefferies & Company Inc.
26.04.18,Hold,eBay Neutral,JP Morgan Chase & Co.
26.04.18,Hold,eBay Neutral,JP Morgan Chase & Co.
26.04.18,Hold,eBay Hold,"Stifel, Nicolaus & Co., Inc."
20.04.18,Buy,eBay Outperform,Credit Suisse Group
19.04.18,Buy,eBay Buy,Aegis Capital
18.04.18,Buy,eBay overweight,Morgan Stanley
13.04.18,Buy,eBay Buy,"Monness, Crespi, Hardt & Co."
10.04.18,Hold,eBay Neutral,JP Morgan Chase & Co.
29.03.18,Buy,eBay Outperform,RBC Capital Markets
20.03.18,Buy,eBay Outperform,RBC Capital Markets
28.02.18,Buy,eBay Outperform,Credit Suisse Group
06.02.18,Hold,eBay neutral,JMP Securities LLC
01.02.18,Buy,eBay Buy,Aegis Capital
01.02.18,Buy,eBay buy,Goldman Sachs Group Inc.
01.02.18,Buy,eBay buy,UBS AG
01.02.18,Hold,eBay Neutral,JP Morgan Chase & Co.
01.02.18,Hold,eBay Neutral,Macquarie Research
01.02.18,Buy,eBay Outperform,RBC Capital Markets
01.02.18,Buy,eBay overweight,Barclays Capital
01.02.18,Hold,eBay Neutral,Atlantic Equities
01.02.18,Hold,eBay Hold,"Stifel, Nicolaus & Co., Inc."
01.02.18,Buy,eBay Outperform,RBC Capital Markets
30.01.18,Buy,eBay buy,Deutsche Bank AG
24.01.18,Buy,eBay Outperform,Credit Suisse Group
12.01.18,Sell,eBay verkaufen,Morgan Stanley
11.01.18,Buy,eBay buy,UBS AG
22.12.17,Buy,eBay Buy,Aegis Capital
08.12.17,Buy,eBay Outperform,BMO Capital Markets
20.07.20,Hold,eBay Neutral,Goldman Sachs Group Inc.
28.01.20,Sell,eBay Underperform,Jefferies & Company Inc.
22.10.19,Hold,eBay Hold,Deutsche Bank AG
11.10.19,Buy,eBay Outperform,Credit Suisse Group
04.09.19,Hold,eBay Neutral,UBS AG
18.07.19,Buy,eBay Outperform,Credit Suisse Group
18.07.19,Buy,eBay Buy,Aegis Capital
24.04.19,Buy,eBay Buy,The Benchmark Company
30.01.19,Buy,eBay Buy,The Benchmark Company
02.01.19,Buy,eBay Buy,Aegis Capital
31.10.18,Buy,eBay Buy,The Benchmark Company
22.10.18,Hold,eBay Neutral,"Monness, Crespi, Hardt & Co."
19.10.18,Hold,eBay Neutral,JP Morgan Chase & Co.
19.10.18,Buy,eBay Hold,"Stifel, Nicolaus & Co., Inc."
17.10.18,Buy,eBay Outperform,RBC Capital Markets
14.09.18,Hold,eBay Neutral,Wedbush Morgan Securities Inc.
03.09.18,Buy,eBay Outperform,RBC Capital Markets
19.07.18,Buy,eBay Buy,The Benchmark Company
19.07.18,Buy,eBay Buy,"Monness, Crespi, Hardt & Co."
19.07.18,Buy,eBay Hold,"Stifel, Nicolaus & Co., Inc."
22.05.18,Hold,eBay Neutral,Macquarie Research
26.04.18,Hold,eBay Hold,Jefferies & Company Inc.
26.04.18,Hold,eBay Neutral,JP Morgan Chase & Co.
26.04.18,Hold,eBay Neutral,JP Morgan Chase & Co.
26.04.18,Hold,eBay Hold,"Stifel, Nicolaus & Co., Inc."
20.04.18,Buy,eBay Outperform,Credit Suisse Group
19.04.18,Buy,eBay Buy,Aegis Capital
18.04.18,Buy,eBay overweight,Morgan Stanley
13.04.18,Buy,eBay Buy,"Monness, Crespi, Hardt & Co."
10.04.18,Hold,eBay Neutral,JP Morgan Chase & Co.
29.03.18,Buy,eBay Outperform,RBC Capital Markets
20.03.18,Buy,eBay Outperform,RBC Capital Markets
28.02.18,Buy,eBay Outperform,Credit Suisse Group
06.02.18,Hold,eBay neutral,JMP Securities LLC
01.02.18,Buy,eBay Buy,Aegis Capital
01.02.18,Buy,eBay buy,Goldman Sachs Group Inc.
01.02.18,Buy,eBay buy,UBS AG
01.02.18,Hold,eBay Neutral,JP Morgan Chase & Co.
01.02.18,Hold,eBay Neutral,Macquarie Research
01.02.18,Buy,eBay Outperform,RBC Capital Markets
01.02.18,Buy,eBay overweight,Barclays Capital
01.02.18,Hold,eBay Neutral,Atlantic Equities
01.02.18,Hold,eBay Hold,"Stifel, Nicolaus & Co., Inc."
01.02.18,Buy,eBay Outperform,RBC Capital Markets
30.01.18,Buy,eBay buy,Deutsche Bank AG
24.01.18,Buy,eBay Outperform,Credit Suisse Group
12.01.18,Sell,eBay verkaufen,Morgan Stanley
11.01.18,Buy,eBay buy,UBS AG
22.12.17,Buy,eBay Buy,Aegis Capital
08.12.17,Buy,eBay Outperform,BMO Capital Markets
19.10.17,Hold,eBay buy,Goldman Sachs Group Inc.
19.10.17,Sell,eBay Underweight,Morgan Stanley
19.10.17,Hold,eBay Neutral,Atlantic Equities
19.10.17,Buy,eBay Hold,"Stifel, Nicolaus & Co., Inc."
19.10.17,Hold,eBay Sector Perform,RBC Capital Markets
19.10.17,Buy,eBay Neutral,JP Morgan Chase & Co.
19.10.17,Buy,eBay Hold,Jefferies & Company Inc.
18.10.17,Buy,eBay Neutral,Macquarie Research
27.09.17,Buy,eBay Outperform,Wells Fargo & Co
22.09.17,Buy,eBay Buy,The Benchmark Company
19.09.17,Buy,eBay Buy,Aegis Capital
08.08.17,Hold,eBay Underperform,Mizuho
21.07.17,Hold,eBay Neutral,JP Morgan Chase & Co.
21.07.17,Buy,eBay overweight,Barclays Capital
21.07.17,Buy,eBay Hold,"Stifel, Nicolaus & Co., Inc."
21.07.17,Hold,eBay buy,UBS AG
21.07.17,Buy,eBay Underweight,Morgan Stanley
21.07.17,Buy,eBay Hold,Canaccord Adams
19.07.17,Buy,eBay Buy,The Benchmark Company
13.07.17,Buy,eBay Buy,Maxim Group
28.06.17,Hold,eBay buy,Goldman Sachs Group Inc.
